rank,dataset,model,n_series,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median,trainable_params_median,elapsed_seconds_median
11,CIF,KRR,65,9.098882875178923,7.4912420420881665,8.595796316201106,6.314155876242731,0.8897233056678092,0.7192848257654036,94.95999975521988,212.1439170502576,0.9291669868592946,379.3490587207377,4.380735218487159,0.0,0.28331446000083815
12,CIF,SeasonalNaive,65,9.214891769510826,8.851308743074028,9.159096958926183,7.733920936092757,0.9762494781724305,0.5385810655666071,109.87653468475855,209.79780182793493,0.9266227362381209,331.9648471393895,4.951683917501348,0.0,0.16346657699978095
13,CIF,Naive,65,9.43777636953098,8.2988598363437,9.250455991961521,8.573482481845712,0.749091307955902,1.0880132224747794,82.29501429363546,304.187118217568,0.9386978406209175,399.94287284972614,4.426640269667483,0.0,0.1850317249991349
14,CIF,EasyTSF-DLinear,66,10.165832864885276,25.92379764780955,9.788738320153527,21.334745637319678,0.8273776000383006,0.8541103652171638,96.80516620351939,254.40616021751194,0.9229797979797979,375.63377765009704,4.862361552069636,26.0,1.0922602199998437
15,CIF,CNN,66,11.154851164344425,26.932391412133324,11.550481647715653,25.228954940711777,1.0927156261307926,1.3120693003405015,125.46745860825357,291.52005214948235,0.9116161616161615,640.4678817509464,7.073391614131192,7740.0,17.674178622
16,CIF,LSTM,66,16.993327582225376,27.134467782942572,17.815357142967457,19.89320731819663,1.5608374636999605,1.8330006023824712,166.82005357278967,393.78956479273563,0.904040404040404,612.2422485251521,7.323500190312473,5804.0,21.653844897
1,M4,GPR,199,2.971904502862896,7.2004867108537205,2.951699341476898,7.0105935130231725,0.35476874841014394,0.4176499063796052,153.92140021814808,356.05815530509346,0.9174296740313357,594.0812254861141,2.3513569247105455,0.0,9.034876577999967
2,M4,AR,199,3.062803799868004,7.050213282031418,3.0408221662714574,6.98422930252565,0.35468325990481364,0.40579711677851377,149.43604403172145,341.9046503073638,0.9218520486079576,535.7834005255712,2.2075060411280343,0.0,1.0927154319997499
3,M4,ARIMA,199,3.101474085098137,6.885654312386302,3.102426245946276,6.821774047647338,0.3595107045702007,0.45981642075358886,161.17370859712315,367.2847672635503,0.9130031615144971,599.5541178054106,2.303810570144183,0.0,10.126370371999656
4,M4,ETS,199,3.302817435088183,7.535300772436214,3.3250941091901445,7.538741950050332,0.32485841169045876,0.41393106335707763,155.80667064056976,353.28769210895666,0.9190277285378387,578.7957910962687,1.9402281039407738,0.0,23.33979317000012
