dataset,model,regime,n_series,n_points,mape_median,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median
CIF,AR,non_shock,40,,0.04878552695727745,4.8785526957277465,,4.803958482179461,,0.6222119660910679,,42.579603164574735,,0.9366477272727274,,3.829200950913349
CIF,AR,shock,25,,0.1197319360132923,11.97319360132923,,11.631126515047375,,0.6014541712170823,,177.28251125483388,,0.9679120879120879,,3.630777344725135
CIF,ARIMA,non_shock,40,,0.0791954894439525,7.919548944395254,,7.654848507643441,,0.8239551303224812,,49.7056625268332,,0.9375,,4.799691441520704
CIF,ARIMA,shock,25,,0.0922858579256439,9.228585792564395,,9.020958885502486,,0.4761615004803481,,191.7178757132196,,0.9416244866244867,,3.2332490835638112
CIF,CNN,non_shock,66,674,,9.774492402417966,27.06360459339679,9.989892462527477,23.817681550964295,1.0927156261307926,1.1041717738372014,115.76113790062223,292.72029851039025,0.9286424854606673,636.1878301069892,7.073391614131192
CIF,CNN,shock,14,64,,20.877679376936918,14.422272220705093,21.063375720995168,13.76956890655661,3.0687440385828864,2.375428303949,223.45099557082204,159.6459933396714,0.5767857142857142,651.4048684479915,14.16794501214643
CIF,Chronos-Bolt-Small,non_shock,66,674,,7.667220133615144,15.69792062022716,7.567137824276943,14.286209161159785,0.6334260536554865,0.6715362412472314,80.11864534947455,247.6243939369395,0.910376492194674,370.527699571689,4.242929303717522
CIF,Chronos-Bolt-Small,shock,14,64,,17.96223130610442,11.75067309101228,18.77717623686455,14.538583201297403,2.133677841048593,2.365577362115705,154.8227358572741,118.93548879073315,0.7928571428571428,394.18853693666097,7.960896600748113
CIF,ETS,non_shock,40,,0.0391646819930685,3.916468199306851,,3.901123672177781,,0.6150489942002768,,39.370783440596824,,0.937784090909091,,3.0828189300223734
CIF,ETS,shock,25,,0.0749979271495128,7.499792714951282,,7.068178381482114,,0.5442257932140322,,163.27187885577763,,0.941848151848152,,2.905219884446792
CIF,EasyTSF-DLinear,non_shock,66,674,,8.744463708874378,25.496091612844694,9.213127390920093,20.621913702463953,0.7898333040590111,0.8094283413652212,83.65338153686533,226.03089730728212,0.9425619834710744,369.4652354080376,4.817533419000583
CIF,EasyTSF-DLinear,shock,14,64,,20.832641872682082,24.441672176000544,22.54238964138089,20.206952342646368,2.910246138315749,2.3343037189622065,166.23067003514657,269.08587499736257,0.5619047619047619,421.8837233083939,8.159381967365292
CIF,EasyTSF-NLinear,non_shock,66,674,,8.328664395454883,14.758121103554831,8.169963658626642,12.869333653217412,0.8026070213213118,0.636093840713448,87.89037063750706,195.90421450328864,0.9317263544536272,407.2428939219711,4.565582193188092
CIF,EasyTSF-NLinear,shock,14,64,,20.636323736010418,18.36095730502758,21.22530791032338,13.64833131081757,3.140616262458768,1.2273689478954388,187.81552651203828,142.1268517410902,0.5363095238095238,452.75725311054583,9.640380276562702
CIF,GPR,non_shock,40,,0.0472923391605922,4.729233916059222,,4.814362747392433,,0.6663966303892253,,41.21381296292493,,0.9366477272727274,,3.3391905208727644
CIF,GPR,shock,25,,0.1055851562629388,10.558515626293886,,10.338498348090315,,0.6155035760509274,,195.63267999732892,,0.9264546564546565,,3.581475971219592
CIF,KRR,non_shock,40,,0.0752592497321045,7.525924973210452,,7.650185111891293,,0.9667801138155192,,60.089108198570166,,0.937784090909091,,4.5960437611995655
