dataset,model,history_fraction,n_series,n_history_median,mape_median,mape_mean,mape_percent_median,mape_percent_mean,smape_percent_median,smape_percent_mean,mae_median,mae_mean,rmse_median,rmse_mean,mase_median,mase_mean,rmsse_median,rmsse_mean,ecp_median,ecp_mean,mean_width_median,mean_width_mean,interval_score_median,interval_score_mean,msis_median,msis_mean,elapsed_seconds_median,elapsed_seconds_mean
M3,S3Forecaster,0.75,199,69.0,0.07015747149304997,0.15721920293746375,7.015747149304998,15.721920293746376,7.2316066086890505,13.12409041423041,337.56731224867434,559.2047682638635,429.25018109309053,704.2533587002117,0.5688134978229319,0.6671034793340844,0.57786605406903,0.6727777834032267,0.9615384615384616,0.9264948008932637,1748.1768290649043,2752.0326670348936,2312.365059810978,3692.3244241605857,3.0358812636519157,4.545371903633114,0.3557423119999612,0.32404073133165756
M3,S3Forecaster,1.0,199,91.0,0.07038475547871254,0.15088864126389903,7.038475547871253,15.088864126389902,7.07246921609128,12.795609005611718,319.6807228468827,532.3060623669896,416.205632487344,663.3829958733579,0.5325355428741181,0.6122171138072792,0.5297688552441181,0.6080280250508044,1.0,0.9331178344760964,1769.3433067150863,2725.997139306061,2204.241386639509,3421.5510853229766,2.992679972236435,4.1889832630445625,0.3870082480000292,0.35525971233165343
M4,S3FastSketchForecaster,0.25,153,40.0,0.03440990096350858,0.11552612946273952,3.4409900963508577,11.552612946273953,3.5020575203689877,8.593099399451049,150.64777540247735,415.18606382922326,186.71930152230007,514.6602549534222,0.6079054179341332,0.7868754960186328,0.6178732263027964,0.7904098178219308,0.9512195121951219,0.9479713989461985,837.5093992756703,2102.239171805882,982.5935716839782,2425.672004541662,3.41687703900495,4.564540677539196,0.4286108559999775,0.38599017194770696
M4,S3FastSketchForecaster,0.5,199,76.0,0.0528700848056005,0.09709350614750946,5.28700848056005,9.709350614750948,5.315776774199836,8.861556597005434,172.71428571428572,360.54089451435107,214.90198467344783,458.50567762945553,0.4980748116179134,0.6018141669289169,0.5074539796194167,0.5949676057062196,0.9512195121951219,0.9471778516413035,943.4026025215724,2009.422885230863,1029.6834889010054,2343.867080387828,3.010912030851127,3.6580385639809694,0.6153363739999804,0.47739383608545516
M4,S3FastSketchForecaster,0.75,199,114.0,0.04356313189786631,0.10158512458876777,4.356313189786631,10.158512458876778,4.473504256402131,8.56736732226214,149.39959274085746,369.69630104084774,186.55329714270414,475.6794130398612,0.40632126317237716,0.5476164150140449,0.4042906361499464,0.5324349348073467,0.9512195121951219,0.9488648951554474,820.4850475909689,2145.9283122201427,928.1627187484139,2427.1880681991024,2.616659980619231,3.3679443031394505,0.8894843410002977,0.6746171340653325
M4,S3FastSketchForecaster,1.0,199,151.0,0.03967537131044722,0.09246735617210639,3.967537131044722,9.246735617210637,3.982338380531205,8.264020160495235,142.7483115230539,315.9804632036927,170.0142972618428,400.9227385786392,0.39042714273310003,0.5071700929793511,0.3726244821105507,0.4883777485029803,0.9512195121951219,0.9487999646571426,748.376147676929,2167.3635214173673,873.6989842235487,2439.72300839041,2.405430102524642,3.2039862510358073,1.1976833090002401,0.9040756099748685
M4,S3Forecaster,0.25,145,40.0,0.028652732676779823,0.07812613087902838,2.865273267677982,7.812613087902838,2.852982920872257,6.755319730674515,132.95236503555455,320.31542298039034,165.71857783541412,418.1856301196775,0.5458449433673673,0.6690109366875359,0.5469648352644386,0.6999711263622722,0.975609756097561,0.9683041003776909,816.5885096167827,2161.3830380848426,886.4846270673088,2401.928037485894,3.6499216386786113,4.622918364623792,0.27183748700008437,0.26530179660001146
M4,S3Forecaster,0.5,199,76.0,0.043074750997978924,0.09939868062875,4.307475099797893,9.939868062875,4.3323244994276,8.986327745278851,166.01132159897696,353.1594131714314,197.87091968112685,447.79984118710234,0.4608593478149131,0.6108483872404408,0.4591108849002746,0.6094844505830063,0.975609756097561,0.9642022501999559,1158.2428500658805,2259.983188136224,1231.9460207419102,2542.4354846118995,3.035126511617615,4.166602079396702,0.29733823700007633,0.2560524197085407
M4,S3Forecaster,0.75,199,114.0,0.03942364877971969,0.09121253032054139,3.942364877971969,9.121253032054138,3.8369873661665035,7.793079407667041,137.4856732434275,322.32716323878265,178.06844214481507,417.13329369092486,0.4281578314524087,0.5467889343377003,0.41675753187917886,0.5470118200234814,0.975609756097561,0.970559651711341,1098.678270294267,2169.6043454093788,1139.3349825481312,2418.699591532233,2.8064894341301274,3.9238946626347135,0.33163886700003786,0.2879339188391978
M4,S3Forecaster,1.0,199,151.0,0.04046119622434648,0.08961328441641063,4.046119622434648,8.961328441641063,3.9697936672720973,7.641857247703974,139.12124331869802,322.7974751473539,181.24168093685432,416.7459344719205,0.40014384974809364,0.5308809594749785,0.3928339694013157,0.5244988897157475,0.975609756097561,0.9695493696187846,1043.0296245357097,2164.5575543323,1105.4295244459242,2421.8663454885595,2.7220052062340416,3.8152855825029692,0.39139795599976424,0.3271647636231192
